family,source_entry,source_file,source_line,source_anchor,precondition,action,result,postcondition,existing_catalog_id,existing_test,evidence_status,evidence_path,notes
invalid_data,run_checkpoint.gd::restore(),Godot/three_d/rules/run_checkpoint.gd,47,for site in values.search_results:,search_results 站点/事件/选项/message 非法,RunCheckpoint.restore,rejected,活体 run 不变,persistence_run.invalid_fields_rejected,run_restore_bounds_test.gd,已登记且有后继状态证据,output/3d/persistence-run-coverage.json,
invalid_data,run_checkpoint.gd::restore(),Godot/three_d/rules/run_checkpoint.gd,54,if not values.last_table_result.is_empty():,last_table_result 净额非整/未知桌；preview rank/suit 非法,RunCheckpoint.restore,rejected,活体 run 不变,persistence_run.invalid_fields_rejected,run_restore_bounds_test.gd,已登记且有后继状态证据,output/3d/persistence-run-coverage.json,preview 校验在 :33/:34
invalid_data,run_checkpoint.gd::restore(),Godot/three_d/rules/run_checkpoint.gd,60,if not content.scenes.has(values.scene_id):,scene_id/reservation/offer_index/completed/venue_history/transfer_log/arrival_completed/collateral 非法或不一致,RunCheckpoint.restore,rejected,活体 run 不变,persistence_run.invalid_fields_rejected,run_restore_bounds_test.gd,已登记且有后继状态证据,output/3d/persistence-run-coverage.json,reservation :62、offer_index :73、completed :76、venue_history :81、transfer_log :85、collateral :99
invalid_data,table_checkpoint.gd::restore(),Godot/three_d/rules/table_checkpoint.gd,9,"if not snapshot.get(""state"") is Dictionary or not snapshot.get(""revision"") is int or not snapshot.get(""rngValue"") is int:",table 元数据非法（revision<0 / rngValue 越 0xffffffff / 类型错）,TableCheckpoint.restore,rejected（null）,样本 table 不变,persistence_table.invalid_snapshot_rejected,table_checkpoint_test.gd,已登记且有后继状态证据,output/3d/persistence-table-coverage.json,rng_overflow=0x100000000、negative_revision；作为同一畸形牌桌快照拒绝语义的代表输入；其他结构变体复用该 ID。
invalid_data,table_checkpoint.gd::restore(),Godot/three_d/rules/table_checkpoint.gd,37,"if seen.size() != 52 or chips + (state.pot if state.status == ""playing"" else 0) != definition.buyIn * 3:",牌面/筹码不一致（重复牌、缺牌、多筹码、错 actor/status/definition）,TableCheckpoint.restore,rejected,样本 table 不变,persistence_table.invalid_snapshot_rejected,table_checkpoint_test.gd,已登记且有后继状态证据,output/3d/persistence-table-coverage.json,8 类畸形 + {} 拒绝
invalid_data,world.gd::restore_checkpoint(),Godot/three_d/scripts/world.gd,990,func restore_checkpoint(state: Dictionary) -> bool,任一被拒输入,restore_checkpoint,rejected 且无部分副作用,A5 探针：13 类拒绝用例全部 world_unchanged=true，隔离存档 hash 不变，无部分覆盖,persistence_restore.invalid_props;persistence_restore.invalid_transform;persistence_restore.outside_room;persistence_restore.active_in_stash;persistence_restore.locked_room,world_restore_atomic_test.gd,已登记且有后继状态证据,output/3d/persistence-restore-coverage.json,补强规则 3/4：拒绝必须核对运行状态+世界状态+原文件三者；汇总行映射正式恢复测试中逐类核对完整世界快照不变的五种拒绝结果。
legacy_migration,run_checkpoint.gd::restore(),Godot/three_d/rules/run_checkpoint.gd,17,"for field in [""route_flags"", ""reservation"", ""offer_index"", ""full_intel"", ""opponent_notes"", ""collateral"", ""last_table_result"", ""scene_id"", ""search_results"", ""run_seed"", ""variant_plan"", ""venue_history"", ""arrival_completed"", ""transfer_log""]:",存档缺 14 个可选字段（VERSION 仍为 1）,RunCheckpoint.restore,accepted：缺失字段以新构造 Run 的默认值回填,部分测试断言回填后的具体默认（scene_id=smoky-den / roster=历史表定义 / 房间需求=ledger）,persistence_restore.legacy_run_fields,world_restore_atomic_test.gd,已登记且有后继状态证据,output/3d/persistence-restore-coverage.json,run_restore_bounds 的 legacy 用例仅断言 !=null；真实“可读夹具”不存在，见 README；正式恢复套件核对缺字段后完整世界状态与默认值；不声称历史磁盘旧档。
legacy_migration,world.gd::restore_checkpoint(),Godot/three_d/scripts/world.gd,999,"var saved_props: Variant = state.get(""props"", {})",world 快照缺 props 键,restore_checkpoint,accepted：props 缺省 {} 后继续,完整世界快照回到基线且 Tavernlight 可见属性恢复默认值；磁盘往返后自动存盘开启、进入暂停态并成功继续情报动作,persistence_restore.legacy_props,world_restore_atomic_test.gd,已登记且有后继状态证据,output/external-handoff/A5/existing-world_restore_atomic_test.log,现有正式测试已逐项断言缺 props 的读盘恢复结果与继续行动；重新运行 2026-09-25 通过
legacy_migration,run_checkpoint.gd::restore(),Godot/three_d/rules/run_checkpoint.gd,51,"var event: Variant = result.get(""event"", site)",search_results 项缺 event 身份（旧格式）,RunCheckpoint.restore,accepted：以 site 作为 event 回填,run_restore_bounds 断言 !=null（无后续状态全等断言）,,run_restore_bounds_test.gd,有测试但未登记,output/external-handoff/A5/existing-run_restore_bounds_test.log,
legacy_migration,run_checkpoint.gd::restore(),Godot/three_d/rules/run_checkpoint.gd,71,"if not values.variant_plan.is_empty() and not Run.Variants.valid(values.variant_plan, content, values.scene_id):",variant_plan 旧版本（version=2/3，缺 opponents/room_layout）,RunCheckpoint.restore,accepted：按版本回填历史 roster 与线性房间图,version 2 回填历史对手 roster 与线性房间图；version 3 保留保存的 roster 并回填线性房间图,persistence_run.legacy_variant_plan_restored,room_pool_test.gd; opponent_pool_test.gd,已登记且有后继状态证据,output/external-handoff/A5/existing-room_pool_test.log,version 3 保持线性房间；version 2 保留历史 roster；run_restore_bounds_test.gd 以内存旧计划断言两种具体恢复结果；不声称读入历史磁盘存档。
legacy_migration,save_store.gd::read_checkpoint(),Godot/three_d/rules/save_store.gd,44,if stored_version != VERSION:,文件 version != 1（跨版本旧档）,read_checkpoint(path),rejected：invalid，不迁移,load_checkpoint 会保留原文件并关闭自动存盘,persistence_restore.unsupported_version_preserved,world_restore_atomic_test.gd,已登记且有后继状态证据,output/3d/persistence-restore-coverage.json,结论：不存在跨版本迁移；VERSION 一旦升到 2，旧档将不可读；正式恢复套件保留未来版本文件原字节并关闭自动存盘；无跨版本迁移。
legacy_migration,(fixture),Godot/three_d/rules/run_checkpoint.gd,17,"for field in [""route_flags"", ""reservation"", ""offer_index"", ""full_intel"", ""opponent_notes"", ""collateral"", ""last_table_result"", ""scene_id"", ""search_results"", ""run_seed"", ""variant_plan"", ""venue_history"", ""arrival_completed"", ""transfer_log""]:",需要一个真实可读的旧格式 JSON/二进制存档夹具,在 tests/ 中查找磁盘夹具,unverified：未找到任何 on-disk 旧档夹具，全部 legacy 用例均为内存中 duplicate 后 erase 字段,无法以“读真实旧档”证明迁移,,,unverified,Godot/three_d/tests,tests/ 仅有 table-fixtures.json / poker-fixtures.json，无 *.save 旧档
rng_replay,table_checkpoint.gd::capture()/restore(),Godot/three_d/rules/table_checkpoint.gd,46,table.rng = Poker.DeterministicRng.new(0),牌桌存档含 rngValue,capture→restore→两侧继续推进同一动作序列,accepted：每个动作边界上 capture(copy)==capture(original)（含 rngValue/deck/community/handNumber）且 public_state 相等,跨 hand_over→next_hand 仍一致,persistence_table.rng_replay,table_checkpoint_test.gd,已登记且有后继状态证据,output/external-handoff/A5/existing-table_checkpoint_test.log,table_checkpoint_test 共 2031 checks：2 桌×10 种子逐边界 save/restore 并行重放；真·后续结果重放；新增稳定 ID，table_checkpoint_test.gd 逐动作边界证明牌面、牌堆、手数、结算及 RNG 延续一致。
rng_replay,world.gd::save_checkpoint()/load_checkpoint(),Godot/three_d/scripts/world.gd,966,func load_checkpoint() -> void,世界中段活动牌桌存档（隔离路径）,新实例 load_checkpoint 后，与参考世界同步驱动 160 步,accepted：public_state+rng.value+run 快照 160/160 步全等，0 分歧；覆盖 hand 1→2 的下一手牌,负对照：故意 +12345 扰动 RNG 后 60/60 步分歧 → 比较非空转,persistence_replay.world_rng_resume;persistence_replay.rng_negative_control,world_rng_replay_test.gd,已登记且有后继状态证据,output/3d/persistence-replay-coverage.json,最终 rng 两侧均为 808510903；这回答“恢复后继续操作的后续可见结果可重放”；正式世界 RNG 重放套件覆盖正常恢复与扰动负对照。
rng_replay,world.gd::load_checkpoint(),Godot/three_d/scripts/world.gd,966,func load_checkpoint() -> void,在座活动桌存档,load → 单步合法动作,accepted：私有牌堆保留、折叠后 revision+1 可继续,仅核对牌堆相等与一次动作，未比较后续 RNG 消耗后的可见结果,,services_save_test.gd,有测试但未登记,output/external-handoff/A5/existing-services_save_test.log,规则 3 意义上属“只核对局部后继”，本行与 A5 探针一行互补
