module,source_file,entry,function_line,branch_or_guard,source_line,outcome,player_reachable,catalog_id,test,evidence_report,evidence_strength,disposition,notes,triage_status,reachability_evidence,state_change_evidence,existing_id_check,recommended_action,review_notes
player,Godot/three_d/scripts/player.gd,_unhandled_input,38,focused 无效 → 不发出 interaction_requested（准星未命中不交互）,Godot/three_d/scripts/player.gd:50-51,rejected,yes,-,-,-,none,reachable_unmapped,玩家可达（准星未对准任何 anchor 时按 E），后继为『无任何请求』。与 world.raycast_unfocused（request_action 侧守卫）不同语义，目录未登记。,same_outcome_merge,★玩家可达：准星未对准任何 anchor 时按 E（:48 命中、:49 update_focus 后 focused 无效）→ :50 守卫不成立 → 不发 interaction_requested。,无权威状态改变（无请求产生，world 侧完全不动）。,"same_outcome|world.raycast_unfocused|「交互请求因无有效目标被拒」已由 world.raycast_unfocused（scripts/world.gd, entry=request_action, rejected）承接；focus 为空的中间态另有 world.focus_cleared（scripts/player.gd, entry=update_focus）。本行只是把同一拒绝提前到信号层发生。",merge_no_new_id,原候选称「与 world.raycast_unfocused 不同语义，目录未登记」——分层确实不同（player 侧提前 return vs world 侧守卫），但玩家可见结果相同（按 E 无任何变化），故归并而不新增 ID。注意 world.* 的 source 字段本就可以是 scripts/player.gd（world.focus_* 三条已如此登记），所以归并符合目录既有取值口径。
player,Godot/three_d/scripts/player.gd,_physics_process,53,controls_enabled → 取 WASD 输入向量；否则 Vector2.ZERO；随后 move_and_slide(),Godot/three_d/scripts/player.gd:56-60,accepted,yes,-,Godot/three_d/tests/smoke.gd::Walking moves player but cannot pass through wall,-,weak,reachable_unmapped,★移动改变 checkpoint_state().player（权威快照字段）。目录无 ID（连续输入非离散转移）。smoke.gd:81-88 是全仓唯一走真实 Input.action_press 的行走断言（断言 x 区间=不可穿墙），spatial_interaction_test.gd:26-35 walk_to 亦走真实输入，但两者都属弱/位置区间证据。,confirmed_distinct_gap,"★玩家可达：WASD（move_* = KEY_W/A/S/D，world.gd:144）→ player._physics_process（:53）→ :56 取输入向量（controls_enabled 为假则 Vector2.ZERO）→ :60 move_and_slide()。既有测试确实走真实输入：smoke.gd:85-87 Input.action_press(""move_forward"")。",权威 World 状态改变：player 的 position / transform 变化，进入 world.checkpoint_state() 的 player 字段（persistence_capture.world_fields_complete）。,no_synonym||385 项无移动 / 位移族 ID；persistence_capture.world_fields_complete 只断言字段被捕获，不断言移动会改变它。,new_id_candidate,★与 Row 9 同属「连续输入写权威快照字段」。现有证据为位置区间（smoke.gd:81-88 断言不可穿墙、spatial_interaction_test.gd:26-35 walk_to），属弱/区间证据。建议新增 ID 并断言按下 move_forward 后 position.z 单调变化且墙体内不可穿越；或显式排除连续移动并记录理由。
player,Godot/three_d/scripts/player.gd,update_focus,63,next == focused → 不发出 focus_changed（幂等）,Godot/three_d/scripts/player.gd:67-69,rejected,yes,-,-,-,none,reachable_unmapped,★重复聚焦同一目标时不发信号。测试只断言 focus_events.back()，未断言『连续两次 update_focus 只发一次 focus_changed』。应补：连续调用两次后断言 focus_events.size() 不增。,same_outcome_merge,★玩家可达：每帧 _physics_process（:61）与每次按 E（:49）都会调 update_focus()；next == focused 时走 :67 的假分支。,无权威状态改变（不 emit focus_changed，focused 值不变）。,"same_outcome|world.focus_acquired|「焦点目标维持不变」与 world.focus_acquired（scripts/player.gd, entry=update_focus, accepted）同源同结果，属操作步骤 3 所指「同一语义结果的重复分支」，应归并。",merge_no_new_id,备选读数：目录确有登记重复调用的先例（world.pause_repeated、world.resume_repeated），若要对称可新增 world.focus_repeated；但三者均无玩家可见差异，推荐归并。无论归并与否，建议补断言：连续两次 update_focus 后 focus_events.size() 不增（现只断言 focus_events.back()）。
world,Godot/three_d/scripts/world.gd,request_action,476,"action_id 前缀 search: → open_services('search', id) 并返回 true",Godot/three_d/scripts/world.gd:482-484,accepted,yes,-,-,-,none,reachable_unmapped,★玩家可达（四室 SearchSite 锚点，world.gd:297，action_id='search:'+site）：世界侧把交互切到 search 服务面板。目录无任何 world.* ID 承接。search_coverage_test.gd 全文不引用 world. / 'search:' 锚点，属规则层测试，不能当本分支证据。应补最小复现：对 Tavern/SearchSite 锚点调 request_action 后断言 services_panel.visible==true 且 service_mode=='search' 且 product_id==site。,existing_id_needs_evidence,"★玩家可达：四室 SearchSite 锚点（world.gd:297 注册 action_id = ""search:"" + site）→ E → player.gd:51 → world.request_action（:482-484 匹配 search: 前缀）→ open_services(""search"", id) 并 return true。","权威 World 状态改变：open_services 打开服务面板并置 service_mode = ""search""、关联 site（world.gd:887-899）。","id_owns_successor|world.services_open|「切到 search 服务面板」就是 world.services_open（scripts/world.gd, entry=open_services, accepted）。对照：弱证据表已把同型的 world.gd:511-512（BarService 锚点）标为 catalog_id = world.services_open。本行缺的是世界侧锚点入口的后置断言（search_coverage_test.gd 属规则层，全文不引用 world. / ""search:"" 锚点）。",map_to_existing_add_test,"与 Row 15 同源。原候选称「目录无任何 world.* ID 承接」不成立 —— open_services 是唯一 ID 归属点，多个调用方按 counting_rule 共享一个 ID。建议补最小复现：对 Tavern/SearchSite 锚点调 request_action 后断言 services_panel.visible 且 service_mode == ""search"" 且 product_id == site。"
world,Godot/three_d/scripts/world.gd,request_action,476,"action_id 前缀 shop: → open_services('product', id) 并返回 true",Godot/three_d/scripts/world.gd:485-487,accepted,yes,-,Godot/three_d/tests/spatial_interaction_test.gd::Physical shelf opens single product,-,strong,reachable_unmapped,测试 :84-85 走真实射线并断言 request_action 为真且 world.service_mode=='product'（权威后继）。但目录无对应 world.* ID 承接『从货架锚点开店』这一世界侧分支。,same_outcome_merge,"★玩家可达：物理货架锚点 → E → world.request_action（:485-487 匹配 shop: 前缀）→ open_services(""product"", id) 并 return true。","权威 World 状态改变：同上（service_mode = ""product""）。",same_outcome|world.services_open|与 Row 14 同结果同 ID；且本行已有强断言：spatial_interaction_test.gd:84-85 走真实射线断言 request_action 为真且 world.service_mode == 'product'。,merge_no_new_id,与 Row 14 的差别只在证据强度（本行强断言已在，故按定义归并而非「补证据」）。建议把这两行的 catalog_id 统一回填为世界侧锚点入口，避免与 weak-evidence 表口径分叉。
world,Godot/three_d/scripts/world.gd,_notification,621,NOTIFICATION_WM_CLOSE_REQUEST 且 readiness → saving_enabled 时 save_checkpoint()，然后 quit(),Godot/three_d/scripts/world.gd:622-625,accepted,yes,-,-,-,none,reachable_unmapped,★生命周期回调（类型：生命周期回调）。玩家可达（关窗）且改状态（退出前写盘）。目录无 ID，无测试注入该通知。应补：在 saving_enabled 时投递 WM_CLOSE_REQUEST，断言 checkpoint 与内存一致（--test 下 auto_accept_quit=false，见 :104）。,confirmed_distinct_gap,★玩家可达（生命周期入口）：关闭窗口 → NOTIFICATION_WM_CLOSE_REQUEST → world._notification（:622）→ readiness 且 saving_enabled 时 save_checkpoint()（:623）后 quit()（:624）。前置状态来源：readiness 在 world.gd:102 置真；saving_enabled 在 world.gd:970/979 置真。注意 --test 下 world.gd:103-104 不设 auto_accept_quit = false，故测试须显式 dispatch 该通知。,权威持久化状态改变：退出前把 checkpoint 写盘（save_checkpoint → save_store 写文件），随后终止进程。,no_synonym||385 项无 _notification / quit / 关闭窗口族 ID。save_checkpoint 侧仅有 persistence_restore.save_repaired_from_memory（outcome 为 'save repaired from memory'）与 persistence_io.write_new / write_replace，均未声明本入口；且无任何测试注入该通知。,new_id_candidate,建议新增 ID（如 world.quit_save）并补断言：saving_enabled 时投递 WM_CLOSE_REQUEST 后磁盘 state 与内存 checkpoint 一致；另需覆盖 saving_enabled 为假时走 :623 的 not saving_enabled 分支直接 quit。
world,Godot/three_d/scripts/world.gd,_notification,621,WM_WINDOW_FOCUS_OUT 且 readiness 且 run_panel 不可见 且非 --test → saving_enabled 时 save_checkpoint()，关闭服务面板，未暂停则 pause_game(),Godot/three_d/scripts/world.gd:626-632,accepted,yes,-,-,-,none,reachable_unmapped,★生命周期回调。玩家可达（切出窗口/Alt-Tab）且改变权威状态（paused、controls_enabled、services_panel）。目录无 ID，无测试。应补：投递 WINDOW_FOCUS_OUT 后断言 paused==true、player.controls_enabled==false、services_panel.visible==false。,confirmed_distinct_gap,★玩家可达（生命周期入口）：切出窗口 / Alt-Tab → NOTIFICATION_WM_WINDOW_FOCUS_OUT → world._notification（:626）→ 需 readiness、run_panel 不可见且非 --test。前置状态来源：readiness = world.gd:102；run_panel 可见性由 world.show_run_panel / close_run_panel 控制。,复合权威状态改变：saving_enabled 时写盘（:627-628）、关闭服务面板（:629-630 → close_services，含世界 ID world.services_close）、未暂停则 pause_game()（:631-632 → paused = true、player.controls_enabled = false，world.gd:601-603）。,no_synonym||385 项无 _notification / 窗口失焦族 ID。三个子效应分别有 ID（persistence_io.write_replace、world.services_close、world.pause），但「窗口通知 → 这一复合效应」这一入口本身无 ID，也无测试注入该通知。,new_id_candidate,备选读数：因三个子效应各自已有 ID，也可判为「复合入口缺覆盖」而并入现有 ID；但子效应在同一入口原子发生且 --test 下被显式排除，属 385 项里完全缺席的一类入口，故按定义列为候选。建议补断言：投递通知后 paused == true、controls_enabled == false、services_panel.visible == false。
world,Godot/three_d/scripts/world.gd,start_table,634,not seated / table_game!=null / paused → return,Godot/three_d/scripts/world.gd:635-636,rejected,yes,-,Godot/three_d/tests/table_integration.gd::Repeated start cannot charge twice,output/3d/table-integration.json,weak,reachable_unmapped,★世界侧守卫（table_game!=null 由 table_integration.gd:29-30 覆盖：重复 start 不二次扣款）；not seated 与 paused 两个合取项无断言。规则层入场语义在 run.gd::enter_table（table/poker 家族目录覆盖），但 world 侧守卫无 world.* ID。,same_outcome_merge,★玩家可达：入座后在座位面板点「开始」→ seat_panel.start_requested（world.gd:381 connect）→ world.start_table（:634）。前置：seated、paused、table_game 三者由 world.seat / leave_seat / pause_game / resume 控制。,无权威状态改变（三个合取项任一命中即 :636 return；run 现金 / table_game / revision 均不动）。,reason_registered_elsewhere|entry.table_active;world.pause_guard|拒绝原因各自已被登记：table_game != null ↔ entry.table_active（enter_table rejected，「当前牌桌尚未结算」）；paused ↔ world.pause_guard（request_action rejected）；not seated 一侧另有 world.leave_unseated 同型登记。守卫不改变权威状态，故不构成独立结果。,merge_no_new_id,原候选称「world 侧守卫无 world.* ID」——确实无 start_table 专属 ID，但拒绝原因（重复开局 / 暂停）已有目录归属。若主 Agent 要求世界会话半区按入口细分粒度登记，应作为「整个半区」策略一次性处理（见说明文档「世界会话与牌桌半区」一节），不按行单独新增。可选补断言：table_integration.gd:29-30 只断言不二次扣款，未覆盖 paused / not seated 两侧。
world,Godot/three_d/scripts/world.gd,start_table,634,入场成功 → trace、refresh_economy、table_delay=0.45、refresh_table,Godot/three_d/scripts/world.gd:642-645,accepted,yes,-,Godot/three_d/tests/table_integration.gd::Starting table pays buy-in once,output/3d/table-integration.json,strong,reachable_unmapped,后继：run 现金按 buyIn 扣减、table_game 非空（规则层由 poker/table 家族覆盖；world 侧 table_delay 计时与 HUD 刷新无 world.* ID）。,same_outcome_merge,同上入口（world.gd:381 seat_panel.start_requested → start_table）；成功侧前置：座位就绪、无在局牌桌、未暂停、run 现金 ≥ buyIn。,权威 Run / World 状态改变：:639 run.enter_table 成功（现金按 buyIn 扣减、heat 按 heatGain 增加、建立 table、revision+1），随后 :642-645 记 trace、刷新经济、置 table_delay = 0.45、refresh_table。,same_outcome|entry.success;entry.collateral;entry.heat_cap|后继就是 enter_table 的接受结果族（entry.success / collateral / heat_cap）；world 侧只是触发者，按 counting_rule 多输入共用一 ID。既有强断言已覆盖本入口：table_integration.gd::Starting table pays buy-in once。,merge_no_new_id,world 侧独有条目 table_delay = 0.45 与 refresh_table 属呈现 / 节拍，不改变规则权威状态。
world,Godot/three_d/scripts/world.gd,play_action,647,paused / services_panel.visible / table_game==null / table_delay>0 → return,Godot/three_d/scripts/world.gd:648-649,rejected,yes,-,Godot/three_d/tests/table_integration.gd::Pause freezes timer and blocks player input,output/3d/table-integration.json,strong,reachable_unmapped,★services_panel.visible 与 paused 由 table_integration.gd:37-39 与 services_save_test.gd:96-98 断言（revision 不变）；table_delay>0 由 table_integration.gd:58-60『Double click during beat is ignored』断言。三个合取项均无 world.* ID。,same_outcome_merge,★玩家可达：牌桌 HUD 动作按钮 → table_hud.gd 的 action_requested → world.gd:382 connect → world.play_action（:647）。前置：非 paused、services_panel 不可见、table_game 非空、table_delay <= 0。,无权威状态改变（四合一守卫命中即 :649 return，table.revision 不变）。,reason_registered_elsewhere|world.pause_guard;world.modal_guard;world.busy_guard|四个拒绝原因均已在 request_action 入口登记同义 ID：paused → world.pause_guard、面板可见 → world.modal_guard、节拍中（table_delay > 0）→ world.busy_guard；table_game == null 一侧与 settlement.no_table / tool.no_table 同型。,merge_no_new_id,既有强断言已覆盖其中三项：table_integration.gd:37-39 与 services_save_test.gd:96-98（revision 不变）、table_integration.gd:58-60（节拍内双击被忽略）。
world,Godot/three_d/scripts/world.gd,play_action,647,table_game.act 成功 → trace、table_delay=0.45、refresh_table,Godot/three_d/scripts/world.gd:653-656,accepted,yes,-,Godot/three_d/tests/table_integration.gd::HUD button submits exactly one legal action,output/3d/table-integration.json,strong,reachable_unmapped,后继为表格 revision+1（规则层 poker_action.* 覆盖）；world 侧节拍与 HUD 刷新无 ID。,same_outcome_merge,同上入口（HUD 按钮 → world.play_action）。成功侧前置：动作合法（table.legal_actions(id) 为真）。,权威 Table 状态改变：:653 table.act(...) 成功 → revision+1、筹码 / currentBet / pot / 行动队列变化；world 侧 :654-656 记 trace、table_delay = 0.45、refresh_table。,same_outcome|poker_action.fold;poker_action.call;poker_action.check;poker_action.raise;poker_action.open;poker_action.custom_raise;poker_action.raise_to_all_in;poker_action.all_in|后继就是 poker_action.* 接受族（其互补拒绝侧为 poker_guard.* 15 条）；world 侧只是触发者与节拍。既有强断言：table_integration.gd::HUD button submits exactly one legal action。,merge_no_new_id,world 侧独有项（table_delay、refresh_table）属呈现 / 节拍，不是新结果。
world,Godot/three_d/scripts/world.gd,continue_hand,658,not paused 且 not services_panel.visible 且 table_game!=null 且 next_hand 成功 → trace、table_delay、refresh_table,Godot/three_d/scripts/world.gd:658-662,accepted,yes,-,-,output/3d/table-integration.json,weak,reachable_unmapped,★玩家可达（牌桌『下一手』按钮，world.gd:383 connect）。守卫的否定侧（paused / services 可见 / 无桌 / revision 过期）无世界侧断言，且整段无 world.* ID。（注：证据来自 output/3d/table-integration.json，该测试整表通过、无独立用例名。）,existing_id_needs_evidence,★玩家可达：牌桌「下一手」按钮 → world.gd:383 seat_panel.continue_requested.connect(continue_hand) → world.continue_hand（:658）。前置：未暂停、服务面板不可见、table_game 非空、next_hand(revision) 成功。,权威 Table 状态改变：next_hand 成功 → start_hand 重置街 / 底牌 / 盲注并 revision+1；world 侧记 trace、table_delay、refresh_table。,id_owns_successor|poker_progress.next_hand;poker_progress.next_hand_heads_up;ending.continue_hand|后继由 poker_progress.next_hand / next_hand_heads_up 与 ending.continue_hand 承接；world 侧本入口的守卫否定侧（paused / services 可见 / 无桌 / revision 过期）无具名断言。,map_to_existing_add_test,证据强度弱：输入表引用的 output/3d/table-integration.json 是整表通过报告、无独立用例名。建议补具名断言覆盖成功侧与四个守卫否定侧。不新增 ID。
world,Godot/three_d/scripts/world.gd,_process,664,saving_enabled → save_clock 累计；>=0.5s 调 save_checkpoint()（自动存档）,Godot/three_d/scripts/world.gd:665-669,accepted,yes,-,-,-,none,reachable_unmapped,★游戏调度可达（时间驱动）且改状态（写盘）。目录无 ID。测试多数 set_process(false) 或 saving_enabled 默认 false，故该定时路径无覆盖。应补：saving_enabled=true、_process(0.6) 后断言 save_clock==0 且磁盘 state 与内存 checkpoint 一致。,confirmed_distinct_gap,★正常调度可达（时间驱动）：每帧 world._process(delta)（:664）。前置状态来源：saving_enabled 为真（world.gd:970/979 在加载 checkpoint / 开局后置真），且累计 save_clock >= 0.5。,权威持久化状态改变：:668-669 归零 save_clock 并调 save_checkpoint()，把内存 checkpoint 写盘（每 0.5s 自动存档）。,no_synonym||385 项无自动存档 / 定时器族 ID。save_checkpoint 侧仅 persistence_restore.save_repaired_from_memory（声明的是 'save repaired from memory' 路径）与 persistence_io.write_replace；本定时入口无 ID、无测试（多数测试 set_process(false) 或 saving_enabled 默认 false）。,new_id_candidate,备选读数：若认定「写盘结果」已被 persistence_io.write_replace 承接，可降级为「补证据」而非新增 ID；但触发条件的计时语义（0.5s 归零）无任何覆盖，故按定义列为候选（低优先）。建议断言：saving_enabled = true 且 _process(0.6) 后 save_clock == 0 且磁盘 state 与内存 checkpoint 一致。
world,Godot/three_d/scripts/world.gd,_process,664,services_panel.visible → return（服务面板打开时冻结牌桌推进）,Godot/three_d/scripts/world.gd:670-671,rejected,yes,-,Godot/three_d/tests/services_save_test.gd::Services freeze table progression and hidden buttons,-,weak,reachable_unmapped,测试只断言 play_action 被忽略（revision 不变），未断言 AI beat / _process 推进被冻结（需对手回合的前置）。目录无 ID。,same_outcome_merge,★玩家可达：打开服务面板（world.open_services，含 inventory = KEY_B 入口）后停留在面板；_process 每帧经过 :670 判定。,无权威状态改变（:671 return，冻结牌桌推进；关面板后继续）。,"reason_registered_elsewhere|world.modal_guard|「面板打开时不接受世界交互 / 推进」已由 world.modal_guard（request_action, rejected）登记；本行是同一原因在 _process 入口的表现。",merge_no_new_id,原候选指出 services_save_test.gd 只断言 play_action 被忽略（revision 不变），未断言 AI beat / _process 推进被冻结。若需保留该断言，请在既有 ID 上补（需构造「对手回合 + 面板打开」前置，断言 _process(10) 后 table.revision 不变），不新增 ID。
world,Godot/three_d/scripts/world.gd,_process,664,table_game==null 或 paused 或 not seated → return,Godot/three_d/scripts/world.gd:672-673,rejected,yes,-,Godot/three_d/tests/table_integration.gd::Pause freezes timer and blocks player input,output/3d/table-integration.json,strong,reachable_unmapped,paused 侧由 table_integration.gd:37-39 断言（world._process(10) 后 table.revision 不变）。,same_outcome_merge,★正常调度：_process 每帧经过 :672；前置为 table_game == null 或 paused 或未入座（由 world.seat / leave_seat / pause_game / resume 控制）。,无权威状态改变（:673 return）。,reason_registered_elsewhere|world.pause_guard;world.leave_unseated|paused → world.pause_guard（request_action rejected）；未入座 → world.leave_unseated（leave_seat rejected）；无桌与 settlement.no_table 同型。既有强断言：table_integration.gd:37-39（world._process(10) 后 table.revision 不变）。,merge_no_new_id,与 Row 24/27 同属 _process / advance_table_beat 的守卫族，建议合并处理。
world,Godot/three_d/scripts/world.gd,_process,664,否则 advance_table_beat()（对手 AI 或无人行动 → 推进牌桌权威状态）,Godot/three_d/scripts/world.gd:681-681,accepted,yes,-,-,-,none,reachable_unmapped,★游戏调度可达且改权威状态（table_game.advance/act → 快照内 table 变更）。规则层由 poker_progress.* / ending.* 覆盖，但 world 侧的定时世界入口无 world.* ID，world_coverage_test 也未以『推进后状态』断言。,existing_id_needs_evidence,"★正常调度可达（时间驱动）：_process 通过 :670/:672/:674/:679 全部守卫后调 advance_table_beat()。前置：已入座、未暂停、面板关闭、节拍结束、status == ""playing"" 且 currentActorId != ""player""。",权威 Table 状态改变：经 advance_table_beat（:683-696）→ table.advance 或 OpponentRules.choose + table.act，推进街 / 结算 / AI 行动，revision 变化。,id_owns_successor|poker_progress.flop;poker_progress.turn;poker_progress.river;poker_progress.showdown;poker_progress.actor_pending;poker_action.fold;poker_action.call|推进结果由 poker_progress.* 与 poker_action.* 承接；world 侧定时世界入口（_process → advance_table_beat）无 world.* ID，也无「推进后状态」断言。,map_to_existing_add_test,证据强度弱：输入表引用的 output/3d/table-integration.json 无独立用例名。建议补断言：对手回合下 _process(1.0) 后 table.revision 增大且 currentActorId 变化（固定 seed 下 OpponentRules.choose 可复现）。不新增 ID。
world,Godot/three_d/scripts/world.gd,advance_table_beat,683,services_panel.visible / table_game==null / paused / status!='playing' → return,Godot/three_d/scripts/world.gd:684-685,rejected,yes,-,-,-,none,reachable_unmapped,与 _process 守卫同族；无 world.* ID。services_save_test.gd:96-98 覆盖 services 可见时不推进。,same_outcome_merge,★正常调度：_process:681 调用本函数；前置同 Row 26。,无权威状态改变（:685 return）。,"reason_registered_elsewhere|poker_progress.actor_pending;world.modal_guard;world.pause_guard|status != ""playing"" 族已由 poker_progress.actor_pending / next_while_playing 登记；面板可见 → world.modal_guard；paused → world.pause_guard。既有覆盖：services_save_test.gd:96-98 断言服务面板可见时不推进。",merge_no_new_id,与 Row 24/25 同族守卫，建议合并处理而非逐行新增。
world,Godot/three_d/scripts/world.gd,advance_table_beat,683,currentActorId 为空 → table_game.advance(revision),Godot/three_d/scripts/world.gd:687-688,accepted,yes,-,-,output/3d/table-integration.json,weak,reachable_unmapped,规则层 poker_progress.* 覆盖 advance 的接受/拒绝；world 侧无 ID。（注：证据来自 output/3d/table-integration.json，该测试整表通过、无独立用例名。）,existing_id_needs_evidence,★正常调度：_process → advance_table_beat（:683）；前置 currentActorId 为空（无人待行动）。,权威 Table 状态改变：table.advance(revision) 推进公共牌街（flop / turn / river）或进入 showdown、结算，revision+1；:695-696 置 table_delay = 0.55 并 refresh_table。,id_owns_successor|poker_progress.flop;poker_progress.turn;poker_progress.river;poker_progress.showdown|后继由 poker_progress.* 承接；world 侧无 ID 且无断言。,map_to_existing_add_test,证据强度弱：输入表引用的 output/3d/table-integration.json 无独立用例名。建议补断言：四条街各推进一次时 community.size() 与 street 取值符合预期。不新增 ID。
world,Godot/three_d/scripts/world.gd,advance_table_beat,683,"currentActorId!=player → OpponentRules.choose + table_game.act(actor,…)",Godot/three_d/scripts/world.gd:690-692,accepted,yes,-,-,output/3d/table-integration.json,weak,reachable_unmapped,依赖 table_game.rng.next() 随机决策，后继是表格状态推进；无确定性断言，无 world.* ID。（注：证据来自 output/3d/table-integration.json，该测试整表通过、无独立用例名。）,existing_id_needs_evidence,"★正常调度：_process → advance_table_beat；前置 currentActorId 非空且非 ""player""（对手回合）。","权威 Table 状态改变：OpponentRules.choose(...) 以 table_game.rng.next() 决策后 table.act(actor_id, ...) 成功，revision+1、筹码 / 队列变化。",id_owns_successor|poker_action.fold;poker_action.call;poker_action.check;poker_action.raise;poker_action.all_in|对手动作的后继由 poker_action.* 承接（对手加注不累加 playerPattern.raiseCount，见 Row 7）；依赖 rng.next()，世界侧无确定性断言。,map_to_existing_add_test,建议补断言：固定 seed 下对手 beat 的决策与 table.revision 增量可复现，并断言该路径不修改 playerPattern.raiseCount。不新增 ID。
world,Godot/three_d/scripts/world.gd,check_pressure,1047,run_game.enforce_pressure() 为真 →（服务面板可见时先关闭）+ travel('stash'),Godot/three_d/scripts/world.gd:1047-1051,accepted,yes,-,Godot/three_d/tests/routes_items_test.gd::Forced loss explains why no exit was available,-,weak,reachable_unmapped,★公开入口且玩家可达（经 leave_seat:584 触发；service_action:945 侧独立判为不可达）。既有 world.leave_forced_pressure_exit 只绑定 leave_seat 前置；『服务面板关闭 + travel』组合无 world.* ID。routes_items_test.gd:162-167 直接调用本函数并断言房间/forced/金库文案（未走服务面板分支）。,existing_id_needs_evidence,"★玩家可达：离座 → world.leave_seat（world.gd:584 处调 check_pressure）→ world.check_pressure（:1047）→ run.enforce_pressure() 为真时 :1049-1051 先关服务面板再 travel(""stash"")。另一调用点 service_action（world.gd:945）已被 A4 判为不可达。前置状态来源：run.heat / 风声达到强制撤离条件（由 Run.enforce_pressure 判定）。","权威 Run / World 状态改变：强制撤离（travel(""stash"")）→ 场景切换、世界状态重建；并关闭服务面板（world.services_close）。",id_owns_successor|world.leave_forced_pressure_exit;world.travel_landing;world.services_close|世界侧已有 world.leave_forced_pressure_exit（leave_seat 的强制撤离前置）与 world.travel_landing（travel），规则侧有 pressure.extract / pressure.abandon；缺的是「服务面板关闭 + travel」这一组合的断言。routes_items_test.gd:162-167 直接调本函数并断言房间 / forced / 金库文案，未走服务面板分支。,map_to_existing_add_test,原候选称「组合无 world.* ID」——各子效应确有 ID，缺的是组合断言。建议补断言：服务面板可见且 enforce_pressure 为真时调用 check_pressure 后 services_panel.visible == false 且已到 stash。不新增 ID。
