测试者编号,经验组,代码版本,种子编号,路线,决策序号,机会ID,机会计数,关联尝试,时刻,前置状态,可见选项,选择,是否成功执行,是否计入决策事件,不计入原因,分叉标记,理由,结果,复盘
P-A2（示例·虚构）,老手,8382b7b（示例）,20260922（示例）,烟雾酒馆 / 只打货运桌 / 普通出口,1,OP-01,计 1 次,-,00:01:05,大厅；行动力 2；搜索点「遗落的外套」（货运桌站）,拿银打火机 · 1 行动力，风声 +1｜只抄下接应线索 · 1 行动力,只抄下接应线索,是,是,-,分叉前,路线优先,行动力 2→1；route_flags.fixed = true,与 P-A1 同选
P-A2（示例·虚构）,老手,8382b7b（示例）,20260922（示例）,烟雾酒馆 / 只打货运桌 / 普通出口,2,OP-02,计 1 次,-,00:01:50,大厅；现金 300；货运桌买入 60,开始本桌（买入 60，风声 +1）｜离座（返回探索）,开始本桌,是,是,-,分叉前,先坐满两手再撤,现金 300→240；风声 0→1；第 1 手开始,与 P-A1 同选
P-A2（示例·虚构）,老手,8382b7b（示例）,20260922（示例）,烟雾酒馆 / 只打货运桌 / 普通出口,3,OP-03,计 1 次,-,00:02:40,货运桌 第 1 手 翻牌前；欠注 20（小盲 10／大盲 20）,弃牌｜跟注 20｜加注 40,跟注 20,是,是,-,分叉前,便宜看一手,筹码 60→40；进入翻牌圈,与 P-A1 的成功执行动作同选（P-A1 先点过一次不合法的「过牌」，不计）
P-A2（示例·虚构）,老手,8382b7b（示例）,20260922（示例）,烟雾酒馆 / 只打货运桌 / 普通出口,4,OP-04,计 1 次,-,00:03:30,货运桌 第 1 手 翻牌圈；欠注 0,弃牌｜过牌｜下注（至少 20）,过牌,是,是,-,分叉前,不做无谓进攻,进入转牌圈,与 P-A1 同选
P-A2（示例·虚构）,老手,8382b7b（示例）,20260922（示例）,烟雾酒馆 / 只打货运桌 / 普通出口,5,OP-05,计 1 次,-,00:04:20,货运桌 第 1 手 转牌圈；欠注 0,弃牌｜过牌｜下注（至少 20）,过牌,是,是,-,分叉前,等河牌,进入河牌圈,与 P-A1 同选
P-A2（示例·虚构）,老手,8382b7b（示例）,20260922（示例）,烟雾酒馆 / 只打货运桌 / 普通出口,6,OP-06,计 1 次,-,00:05:10,货运桌 第 1 手 河牌圈；欠注 0,弃牌｜过牌｜下注（至少 20）,过牌,是,是,-,分叉前,不加钱,第 1 手摊牌结束,与 P-A1 同选
P-A2（示例·虚构）,老手,8382b7b（示例）,20260922（示例）,烟雾酒馆 / 只打货运桌 / 普通出口,7,OP-07,计 1 次,-,00:06:35,货运桌 第 2 手 翻牌前；欠注 20,弃牌｜跟注 20｜加注 40,加注 40,是,是,-,**分叉点**（同一局面，新手选弃牌）,这一手值得压,本手继续；底池变大,从这条起两人局面不再相同
P-A2（示例·虚构）,老手,8382b7b（示例）,20260922（示例）,烟雾酒馆 / 只打货运桌 / 普通出口,8,OP-08,计 1 次,-,00:07:40,货运桌 第 2 手 翻牌圈；欠注 0,弃牌｜过牌｜下注（至少 20）,过牌,是,是,-,分叉后（不配对）,先看看,进入转牌圈,无新手对应局面
P-A2（示例·虚构）,老手,8382b7b（示例）,20260922（示例）,烟雾酒馆 / 只打货运桌 / 普通出口,9,OP-09,计 1 次,-,00:08:45,货运桌 第 2 手 转牌圈；欠注 0,弃牌｜过牌｜下注（至少 20）,过牌,是,是,-,分叉后（不配对）,不加钱,进入河牌圈,无新手对应局面
P-A2（示例·虚构）,老手,8382b7b（示例）,20260922（示例）,烟雾酒馆 / 只打货运桌 / 普通出口,10,OP-10,计 1 次,-,00:09:55,货运桌 第 2 手 河牌圈；欠注 0,弃牌｜过牌｜下注（至少 20）,过牌,是,是,-,分叉后（不配对）,等摊牌,第 2 手摊牌结束；本桌两手结束；离桌返还筹码 52（记录值，不由本表推导）,无新手对应局面
P-A2（示例·虚构）,老手,8382b7b（示例）,20260922（示例）,烟雾酒馆 / 只打货运桌 / 普通出口,11,OP-11,计 1 次,-,00:12:20,大厅；行动力 2（离桌后刷新）；第 2 档服务面板（search_index 已为 2）,服务面板：本档在架道具的购买按钮（含一次性手机 50）,购买一次性手机 50,是,是,-,分叉后（不配对）,下一局可能用得上,现金 292→242；背包 +一次性手机（本档必有：run_variants.gd:14-15 强制补货，且在 ESSENTIALS 内不会被删）,-
P-A2（示例·虚构）,老手,8382b7b（示例）,20260922（示例）,烟雾酒馆 / 只打货运桌 / 普通出口,12,OP-12,计 1 次,-,00:17:15,撤离框；现金 242；风声 1；valuable_total 0；public_exit = true,普通出口（手续费 = 24 + floor(现金×0.12)，风声恰为 5 时再加 45）｜紧急出口 · 丢现金（手续费 10，另丢 floor(现金×0.4)）｜（预约接应：本局未在酒保处预订，不可用）,普通出口,是,是,-,分叉后（不配对）,同一条撤离方式,手续费 24 + floor(242×0.12) = 53；到账 189；金库 1200 − 300 + 189 = 1089,T_extract = 00:17:15；本局总时长 00:17:15
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
