"family","source_entry","source_line","source_anchor","precondition","action","result","postcondition","existing_catalog_id","existing_test","evidence_status","evidence_path","notes"
"prop_interactions","scene_props.gd::interact","Godot/three_d/scripts/scene_props.gd:36","register(id, drawer","props.states.drawerN==true；动画空闲","request_action(prop:drawerN 锚点，重新瞄准后)","accepted：states=false，position 补间回 closed","states.drawerN==false；position≈closed","(无)","(无)","有A4探针后继状态证据","Godot/three_d/scripts/scene_props.gd:36;output/external-handoff/A4/a4-world-probe.log","探针 prop_drawer0/1/2_reverse 全部 PASS（先重新瞄准再按，因 anchor 随抽屉移动）"
"prop_interactions","scene_props.gd::interact","Godot/three_d/scripts/scene_props.gd:54","register(""window""","props.states.window==false；动画空闲","request_action(prop:window 锚点)","accepted：states=true，rotation:y 补间到 -0.95","states.window==true；rot.y≈-0.95","world.prop_window","world_coverage_test.gd:44-45;spatial_interaction_test.gd:44-53","已登记且有后继状态证据","Godot/three_d/scripts/scene_props.gd:54;output/external-handoff/A4/a4-world-probe.log","—"
"prop_interactions","scene_props.gd::interact","Godot/three_d/scripts/scene_props.gd:54","register(""window""","props.states.window==true；动画空闲","request_action(prop:window 锚点)","accepted：states=false，rotation:y 补间回 0.0","states.window==false；rot.y≈0.0","(无)","(无)","有A4探针后继状态证据","Godot/three_d/scripts/scene_props.gd:54;output/external-handoff/A4/a4-world-probe.log","探针 prop_window_reverse PASS"
"prop_interactions","scene_props.gd::interact","Godot/three_d/scripts/scene_props.gd:89","register(""card""","props.states.card==false；动画空闲","request_action(prop:card 锚点)","accepted：states=true，rotation:z 补间到 PI","states.card==true；rot.z≈PI","world.prop_card","world_coverage_test.gd:44-45;spatial_interaction_test.gd:44-53","已登记且有后继状态证据","Godot/three_d/scripts/scene_props.gd:89;output/external-handoff/A4/a4-world-probe.log","—"
"prop_interactions","scene_props.gd::interact","Godot/three_d/scripts/scene_props.gd:89","register(""card""","props.states.card==true；动画空闲","request_action(prop:card 锚点)","accepted：states=false，rotation:z 补间回 0.0","states.card==false；rot.z≈0.0","(无)","(无)","有A4探针后继状态证据","Godot/three_d/scripts/scene_props.gd:89;output/external-handoff/A4/a4-world-probe.log","探针 prop_card_reverse PASS（翻回）"
"prop_interactions","scene_props.gd::interact","Godot/three_d/scripts/scene_props.gd:104","register(""chip""","props.states.chip==false；动画空闲","request_action(prop:chip 锚点)","accepted：states=true，rotation:y 补间到 1.5PI","states.chip==true；rot.y≈1.5PI","world.prop_chip","world_coverage_test.gd:44-45;spatial_interaction_test.gd:44-53","已登记且有后继状态证据","Godot/three_d/scripts/scene_props.gd:104;output/external-handoff/A4/a4-world-probe.log","—"
"prop_interactions","scene_props.gd::interact","Godot/three_d/scripts/scene_props.gd:104","register(""chip""","props.states.chip==true；动画空闲","request_action(prop:chip 锚点)","accepted：states=false，rotation:y 补间回 0.0","states.chip==false；rot.y≈0.0","(无)","(无)","有A4探针后继状态证据","Godot/three_d/scripts/scene_props.gd:104;output/external-handoff/A4/a4-world-probe.log","探针 prop_chip_reverse PASS（转回）"
"prop_interactions","scene_props.gd::interact","Godot/three_d/scripts/scene_props.gd:110","register(prefix + ""light""","props.states.<Room>light==false；动画空闲（Tavern/LedgerCellar/MirrorHall/EmbersRoom 四室同构）","request_action(prop:<Room>light 锚点)","accepted：states=true，light_energy 补间到 0.0","states.<Room>light==true；light_energy≈0.0","(无)","(无)","有A4探针后继状态证据","Godot/three_d/scripts/scene_props.gd:108-110;Godot/three_d/scripts/world.gd:299;output/external-handoff/A4/a4-world-probe.log","目录里没有、也确实缺证据：四室壁灯无任何既有测试。四室后继一致，合并为一条（差异仅为 room_name 前缀）。探针 prop_<Room>light_forward 四条全 PASS"
"prop_interactions","scene_props.gd::interact","Godot/three_d/scripts/scene_props.gd:110","register(prefix + ""light""","props.states.<Room>light==true；动画空闲","request_action(prop:<Room>light 锚点)","accepted：states=false，light_energy 补间回 0.8","states.<Room>light==false；light_energy≈0.8","(无)","(无)","有A4探针后继状态证据","Godot/three_d/scripts/scene_props.gd:110;output/external-handoff/A4/a4-world-probe.log","探针 prop_<Room>light_reverse 四条全 PASS"
"prop_interactions","scene_props.gd::interact","Godot/three_d/scripts/scene_props.gd:117","register(prefix + ""cupboard""","props.states.<Room>cupboard==false；动画空闲（四室同构）","request_action(prop:<Room>cupboard 锚点)","accepted：states=true，rotation:y 补间到 -1.2","states.<Room>cupboard==true；rot.y≈-1.2","(无)","(无)","有A4探针后继状态证据","Godot/three_d/scripts/scene_props.gd:111-117;Godot/three_d/scripts/world.gd:299;output/external-handoff/A4/a4-world-probe.log","目录里没有、也确实缺证据：四室餐具柜无任何既有测试。探针 prop_<Room>cupboard_forward 四条全 PASS"
"prop_interactions","scene_props.gd::interact","Godot/three_d/scripts/scene_props.gd:117","register(prefix + ""cupboard""","props.states.<Room>cupboard==true；动画空闲","request_action(prop:<Room>cupboard 锚点)","accepted：states=false，rotation:y 补间回 0.0","states.<Room>cupboard==false；rot.y≈0.0","(无)","(无)","有A4探针后继状态证据","Godot/three_d/scripts/scene_props.gd:117;output/external-handoff/A4/a4-world-probe.log","探针 prop_<Room>cupboard_reverse 四条全 PASS（关合）"
"prop_interactions","world.gd::request_action","Godot/three_d/scripts/world.gd:477","action_busy","同一道具动画进行中（action_busy=true，补间 0.45s 未结束）","request_action(同一 prop 锚点)","rejected：返回 false","action_busy 仍 true；checkpoint_state 快照与首次接受后一致","world.busy_guard","world_coverage_test.gd:29-30;smoke.gd:41-42","已登记且有后继状态证据","Godot/three_d/scripts/scene_props.gd:14-17;Godot/three_d/tests/world_coverage_test.gd","world.busy_guard 是唯一在公开入口下不被 can_interact 掩盖的守卫（它不改 controls_enabled）。探针 prop_*_busy 十五条全 PASS"
"prop_interactions","world.gd::request_action","Godot/three_d/scripts/world.gd:477","action_busy","道具 A 动画进行中，立即转向道具 B","request_action(道具 B 锚点)","rejected：返回 false","B 未变；checkpoint_state 快照不变","(无)","(无)","有A4探针后继状态证据","Godot/three_d/scripts/scene_props.gd:14;output/external-handoff/A4/a4-world-probe.log","action_busy 是 world 级共享标志：任一 prop/toggle_case 动画都会阻塞所有其他道具。探针 cross_prop_busy PASS。无既有测试"
"prop_interactions","world.gd::request_action","Godot/three_d/scripts/world.gd:500","""toggle_case"":","case_open==true；lid 有效；动画空闲","request_action(case_target 锚点)","accepted：case_open=true->false，盖板补间到 打开+102°","case_open==false；lid.rotation≈lid_open_rotation+102°；case_target.title=='打开皮箱'","world.case_close","smoke.gd:38-43","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:500-510;Godot/three_d/tests/smoke.gd;output/external-handoff/A4/a4-world-probe.log","目录里没有：皮箱盖是 request_action 内实现，不走 props.interact，24 条 world.* 中无任何 toggle_case 登记。探针 toggle_case_close PASS；当前目录复用 world.case_close，不新增分母。"
"prop_interactions","world.gd::request_action","Godot/three_d/scripts/world.gd:500","""toggle_case"":","case_open==false；lid 有效；动画空闲","request_action(case_target 锚点)","accepted：case_open=false->true，盖板补间回 lid_open_rotation","case_open==true；lid.rotation≈lid_open_rotation；case_target.title=='合上皮箱'","world.case_reopen","smoke.gd:45-48","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:500-510;Godot/three_d/tests/smoke.gd;output/external-handoff/A4/a4-world-probe.log","反向（翻回）方向。既有 smoke.gd 已核 case_open 与 lid.rotation 是否回到 lid_open_rotation；探针 toggle_case_open PASS；当前目录复用 world.case_reopen，不新增分母。"
"prop_interactions","scene_props.gd::interact","Godot/three_d/scripts/scene_props.gd:12","var entry: Dictionary = entries[id]","未注册的 prop id","props.interact(未注册 id)","不可到达","—","(无)","(无)","不可到达","Godot/three_d/scripts/scene_props.gd:11-12","全部 prop:* 锚点均由 register(...) 与 world.target(...) 成对创建（world.gd:312-326 / scene_props.gd:24-117），公开入口无法构造未注册 id；request_action 的 prop: 分支不会走到这里"
"seat","world.gd::request_action","Godot/three_d/scripts/world.gd:530","""sit"":","run 已激活且 table_blocked_reason(active_table_id) 为空；射线命中 TableSeat","request_action(table_target)","accepted：seated=true；切座位相机；seat_panel.pregame+show；controls_enabled=false；隐藏准星与探索提示；鼠标可见","seated==true；seat_panel.visible==true；player.controls_enabled==false；seat_camera.current==true","world.seat","world_coverage_test.gd:62;smoke.gd:64-66;two_tables.gd:18","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:530-544;Godot/three_d/tests/world_coverage_test.gd","—"
"seat","world.gd::request_action","Godot/three_d/scripts/world.gd:531","table_blocked_reason(active_table_id)","run 未激活（或该桌前置未满足）","request_action(table_target)","rejected：返回 false，hint_label 写入原因","seated==false；checkpoint_state 快照不变；hint_label.text 非空（'先从藏匿点进入酒馆'）","world.seat_blocked","world_coverage_test.gd:50-51;room_pool_test.gd:83","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:531-534;Godot/three_d/tests/world_coverage_test.gd","探针 seat_blocked_no_run 复核 hint='先从藏匿点进入酒馆' 且快照不变"
"seat","world.gd::request_action","Godot/three_d/scripts/world.gd:477","seated","已入座时再触发任意世界锚点","request_action(prop:lamp 锚点)","rejected：返回 false","seated==true；player.controls_enabled==false；checkpoint_state 快照不变","(无)","(无)","有A4探针后继状态证据","Godot/three_d/scripts/world.gd:477;Godot/three_d/scripts/player.gd:72;output/external-handoff/A4/a4-world-probe.log","守卫项 seated 在自然路径下与 can_interact 的 controls_enabled 项重合（入座必然关控制），无法单独归因；探针 guard_seated_natural PASS"
"leave_seat","world.gd::leave_seat","Godot/three_d/scripts/world.gd:565","if paused or not seated","seated==true；table_game==null（未开局）；paused==false","leave_seat()","accepted：seated=false；controls_enabled=true；相机切回；座位面板隐藏；鼠标捕获；回到 return_transform","not seated；table_game==null；player.camera.current==true；player.global_position≈入座前位置","world.leave_pregame","world_coverage_test.gd:67-68;smoke.gd:66-68","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:564-584;Godot/three_d/tests/world_coverage_test.gd","—"
"leave_seat","world.gd::leave_seat","Godot/three_d/scripts/world.gd:565","table_game.state.status != ""finished""","seated==true；table_game!=null 且 status!='finished'","leave_seat()","rejected：返回","seated==true；table_game 仍是同一对象；run_game.cash 不变","world.leave_active_rejected","world_coverage_test.gd:75-76;table_integration.gd:30","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:565-566;Godot/three_d/tests/world_coverage_test.gd","—"
"leave_seat","world.gd::leave_seat","Godot/three_d/scripts/world.gd:568","settle_table(run_game.revision)","seated==true；table_game.status=='finished'；settle_table 成功","leave_seat()","accepted：结算入账；completed 记录该桌；清空牌面；返回座位前位置","not seated；table_game==null；run_game.cash==入座前+返还筹码；完成桌 id 进入 completed","world.leave_finished","world_coverage_test.gd:90-93;four_tables_test.gd:79-82;two_tables.gd:50-52","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:567-584;Godot/three_d/tests/world_coverage_test.gd","—"
"leave_seat","world.gd::leave_seat","Godot/three_d/scripts/world.gd:565","not seated","seated==false","leave_seat()","rejected：返回","checkpoint_state 快照完全不变","world.leave_unseated","world_coverage_test.gd:94-96","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:565;Godot/three_d/tests/world_coverage_test.gd","—"
"leave_seat","world.gd::leave_seat","Godot/three_d/scripts/world.gd:565","paused","seated==true；paused==true","leave_seat()","rejected：返回","seated 与 paused 均不变；checkpoint_state 快照不变","(无)","(无)","有A4探针后继状态证据","Godot/three_d/scripts/world.gd:565;Godot/three_d/tests/table_integration.gd;output/external-handoff/A4/a4-world-probe.log","目录里没有、确实缺证据。注意 seat_panel 在暂停时被隐藏，所以该分支只能由公开入口程序化调用，键鼠 GUI 不可达。探针 leave_paused_rejected PASS"
"leave_seat","world.gd::leave_seat","Godot/three_d/scripts/world.gd:568","not run_game.settle_table","seated==true；table_game!=null；status=='finished'；但 settle_table 返回 false（重复结算/版本不符）","leave_seat()","rejected：返回","seated 不变；table_game 不变","(无)","(无)","unverified","Godot/three_d/scripts/world.gd:568-569","该拒绝分支存在于源码，但未构造出可达实例（正常流程下 finished 只结算一次）。仅凭静态阅读判定可达性 -> unverified，不计入已证实分母"
"leave_seat","world.gd::leave_seat","Godot/three_d/scripts/world.gd:584","check_pressure()","seated==true；table_game==null；离座后 check_pressure 触发风声封锁","leave_seat()","accepted 且被强制撤离：travel('stash')，run 结束，last_result.forced==true","not seated；not run_game.active；current_room=='stash'；last_result.forced==true","(无)","routes_items_test.gd:164-167","有A4探针后继状态证据","Godot/three_d/scripts/world.gd:584;Godot/three_d/scripts/world.gd:1039-1043;output/external-handoff/A4/a4-world-probe.log","既有 routes_items_test.gd 是从 check_pressure() 入口测的（未登记为 world.*）；探针从 leave_seat 入口取证（heat=6 与 inventory 为显式构造前置条件，日志 A4ISO 标注）"
"pause","world.gd::pause_game","Godot/three_d/scripts/world.gd:601","func pause_game","paused==false；not seated","pause_game()","accepted：paused=true；controls_enabled=false；pause_panel.show；准星隐藏；鼠标可见；按钮文本'继续探索'","paused==true；pause_panel.visible==true；player.controls_enabled==false","world.pause","world_coverage_test.gd:63-64","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:601-610;Godot/three_d/tests/world_coverage_test.gd","—"
"pause","world.gd::pause_game","Godot/three_d/scripts/world.gd:604","if seated:","seated==true","pause_game()","accepted：paused=true；seat_panel 隐藏；pause_panel.show；按钮文本'继续牌局'","paused==true；seat_panel.visible==false；pause_panel.visible==true；player.controls_enabled==false","world.pause","world_coverage_test.gd:63-64;table_integration.gd:34-35","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:601-608;Godot/three_d/tests/table_integration.gd","目录只有一条 world.pause；此处是同一入口在 seated 下的语义结果（按钮文本与 seat_panel 后继不同），已登记 ID 复用不新增分母"
"pause","world.gd::request_action","Godot/three_d/scripts/world.gd:477","paused","paused==true 时触发任意世界锚点","request_action(anchor)","rejected：返回 false","checkpoint_state 快照完全不变","world.pause_guard","world_coverage_test.gd:33-35","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:477;Godot/three_d/tests/world_coverage_test.gd","探针 guard_paused_isolated 把 controls_enabled 暂时置真以隔离该守卫项（A4ISO 标注），确认 paused 项本身是决定因素"
"pause","world.gd::pause_game","Godot/three_d/scripts/world.gd:602","paused = true","paused==true（重复调用）","pause_game()","accepted（幂等）：各可见性/控制字段被再写一遍，无新增副作用","仍 paused==true","(无)","(无)","未找到测试","Godot/three_d/scripts/world.gd:601-610","pause_game 无入参守卫；键鼠路径由 toggle_pause 统一路由（world.gd:586-599），重复调用只能程序化触发。既有测试未覆盖"
"pause","world.gd::toggle_pause","Godot/three_d/scripts/world.gd:586","func toggle_pause","玩家按 Esc","toggle_pause()","分派：close_services() / close_run_panel() / resume() / leave_seat() / pause_game()","取决于所走分支","world.toggle_pause_services;world.toggle_pause_run_panel;world.toggle_pause_resume;world.toggle_pause_pregame_leave;world.pause","table_integration.gd:24-25;table_integration.gd:35;smoke.gd:54-57","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:586-599;Godot/three_d/tests/table_integration.gd","toggle_pause 未列入 A4 领取的 10 个入口，但它是 pause 的真实玩家入口（player.pause_requested 信号），故一并记录其分派语义；该汇总行映射五个分派后继的既有 ID，不额外建立“dispatch”转移或增加分母。"
"resume","world.gd::resume","Godot/three_d/scripts/world.gd:612","func resume","paused==true；not seated","resume()","accepted：paused=false；controls_enabled=true；pause_panel 隐藏；准星可见；鼠标捕获","paused==false；player.controls_enabled==true；pause_panel.visible==false；crosshair.visible==true","world.resume","world_coverage_test.gd:36-37;smoke.gd:57","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:612-619;Godot/three_d/tests/world_coverage_test.gd","—"
"resume","world.gd::resume","Godot/three_d/scripts/world.gd:614","player.controls_enabled = not seated","paused==true；seated==true","resume()","accepted：paused=false；seat_panel.show；controls_enabled 保持 false；准星隐藏；鼠标可见","paused==false；seat_panel.visible==true；player.controls_enabled==false；seated==true","world.resume","world_coverage_test.gd:65-66;table_integration.gd:39-42;world_restore_atomic_test.gd:65","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:612-619;Godot/three_d/tests/table_integration.gd","目录只有一条 world.resume；此处是同一入口在 seated 下的语义结果（后继相反），不新增分母"
"resume","world.gd::resume","Godot/three_d/scripts/world.gd:613","paused = false","paused==false（重复调用）","resume()","accepted（幂等）：无新增副作用","仍 paused==false","(无)","(无)","未找到测试","Godot/three_d/scripts/world.gd:612-619","resume 无入参守卫；键鼠路径只能从暂停面板按钮或 toggle_pause 到达。既有测试未覆盖该幂等调用"
"room_entry","world.gd::confirm_run_action","Godot/three_d/scripts/world.gd:837","if run_action == ""enter""","run_panel 可见；run_action=='enter'；run_confirm 未禁用；vault>=120","confirm_run_action()","accepted：run_game.start 成功；close_run_panel；travel('tavern')；exit_notice.title 复位","active==true；current_room=='tavern'；vault 减 300；cash==300；run_panel.visible==false","world.room_entry","world_coverage_test.gd:52-57;playtest_seed_test.gd:26-28;table_integration.gd:19-23","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:837-844;Godot/three_d/tests/world_coverage_test.gd","—"
"room_entry","world.gd::confirm_run_action","Godot/three_d/scripts/world.gd:845","if run_action == ""transfer""","已知 run 已 active 且本轮至少完成 1 桌；quote.reason 为空","confirm_run_action()","accepted：transfer_venue 成功；close_run_panel；travel('tavern')","current_room=='tavern'；run_game.scene_id==目标场景；venue_history.size()==2；vault 不变；cash 减 quote.fee；public_exit 复位","world.transfer_confirm","world_coverage_test.gd:97-103;scene_rules_test.gd:76-91","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:845-851;Godot/three_d/tests/world_coverage_test.gd","—"
"room_entry","world.gd::confirm_run_action","Godot/three_d/scripts/world.gd:852","if run_action == ""extract""","已发现出口（general 路线已知）；quote.reason 为空","confirm_run_action()","accepted：extract 成功；close_run_panel；travel('stash')","active==false；current_room=='stash'；vault==此前+quote.net；cash==0；run_panel.visible==false","world.extract_confirm","world_coverage_test.gd:104-108;scene_rules_test.gd:92-97;routes_items_test.gd:145-146","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:852-857;Godot/three_d/tests/world_coverage_test.gd","—"
"room_entry","world.gd::confirm_run_action","Godot/three_d/scripts/world.gd:858","if run_action == ""abandon""","quote.reason 为空","confirm_run_action()","accepted：abandon 成功；close_run_panel；travel('stash')","active==false；current_room=='stash'；vault==quote.vaultAfter；last_result.abandoned==true；cash==0","world.abandon_confirm","world_coverage_test.gd:109-114;routes_items_test.gd:152-161","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:858-863;Godot/three_d/tests/world_coverage_test.gd","—"
"room_entry","world.gd::confirm_run_action","Godot/three_d/scripts/world.gd:864","if run_action == ""reset""","vault<120 时 show_run_panel('enter') 把 run_action 改成 'reset'","confirm_run_action()","accepted：reset_demo 成功；refresh_economy；再次 show_run_panel('enter')","vault==startingVault；active==false；current_room=='stash'；run_panel.visible==true；run_action=='enter'","world.reset_confirm","world_coverage_test.gd:115-119","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:864-868;Godot/three_d/tests/world_coverage_test.gd","—"
"room_entry","world.gd::confirm_run_action","Godot/three_d/scripts/world.gd:835","if not run_panel.visible or paused","run_panel.visible==false","confirm_run_action()","rejected：返回","run_game 状态与 revision 不变；run_panel 仍不可见","(无)","(无)","有A4探针后继状态证据","Godot/three_d/scripts/world.gd:835;output/external-handoff/A4/a4-world-probe.log","目录里没有、确实缺证据。探针 confirm_panel_hidden_noop PASS"
"room_entry","world.gd::confirm_run_action","Godot/three_d/scripts/world.gd:835","paused","paused==true（run_panel 已被 show_run_panel 打开）","confirm_run_action()","rejected：返回","run_panel 仍可见；paused 仍 true；run_game.revision 不变","(无)","(无)","有A4探针后继状态证据","Godot/three_d/scripts/world.gd:835;output/external-handoff/A4/a4-world-probe.log","探针 confirm_paused_noop PASS"
"room_entry","world.gd::confirm_run_action","Godot/three_d/scripts/world.gd:835","run_confirm.disabled","三种前置：路线未确认(route:fixed 未预约) / preview_only=true / 未发现出口的 extract","confirm_run_action()","rejected：返回","run_panel 仍可见；run_game.revision 不变","(无)","scene_rules_test.gd:88-89;extraction_fallback_ui_test.gd:36-60","有A4探针后继状态证据","Godot/three_d/scripts/world.gd:801-819;Godot/three_d/scripts/world.gd:835;output/external-handoff/A4/a4-world-probe.log","既有测试只断言 run_confirm.disabled 与 run_body 文本（证明按钮被禁用），未断言确认后 run 状态不变；探针 confirm_disabled_* 三条补齐 revision 不变断言"
"room_entry","world.gd::travel","Godot/three_d/scripts/world.gd:549","func travel","玩家在任意房间","travel(destination)","accepted：characters.sync/bar_display.refresh/refresh_route_labels；current_room=destination；select_table_room；落点与朝向重设；title_label 更新","current_room==destination；player 落到该房间入口坐标；title_label 文本对应房间","world.travel_landing","two_tables.gd:64-75;four_tables_test.gd:47-99;room_pool_test.gd:91-99;scene_rules_test.gd:84-86","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:549-562;output/external-handoff/A4/a4-world-probe.log","目录里没有 travel 的独立登记；探针 travel_all_destinations 只核 current_room（title/落点未逐项断言，已在日志 A4NOTE 注明）；当前目录复用 world.travel_landing，不新增分母。"
"room_entry","world.gd::request_action","Godot/three_d/scripts/world.gd:491","str(anchor.action_id).begins_with(""room:"")","room_blocked_reason 为空（前置桌已完成）","request_action(room:<dest> 锚点) 或 request_action(ledger_door)","accepted：travel(destination)","current_room==destination","world.room_entry","two_tables.gd:66-67;four_tables_test.gd:55-57;room_pool_test.gd:89","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:491-498;Godot/three_d/scripts/world.gd:517-521;output/external-handoff/A4/a4-world-probe.log","目录里没有 room:* / enter_ledger / back_tavern 的登记。探针 room_door_unlock 以 completed 注入到达该分支（日志 A4ISO 标注）；当前目录复用 world.room_entry，不新增分母。与完整落点结果属于同一“进入目标房间”后继语义。"
