素材编号,相对路径,类型,数量,尺寸/时长,画面内容,对应玩法 ID,对应关系状态,当前使用证据,3D 制作参考价值,备注
BL-001,assets/blender/stash-noir/stash-noir.blend,模型,1,约 939 KB（含贴图打包）,Blender 5.2.1 LTS 场景文件：木桌、打开皮革箱（现金）、筹码、贵重物、扑克牌和金色牌券、台灯、夜晚雨天窗外街景；Cycles 渲染器。,stash,已确认,assets/blender/stash-noir/build.log:6-7 SCENE_READY 1479 objects；verification.json:1479 objects/1115 meshes,完整 3D 场景参考：材质、灯光（暖色台灯）、道具布置（纸币/筹码/皮箱）；verification.json 记录 1479 个对象；resolution 1408×768,已通过 build_scene.py 验证可重建；贴图打包在 .blend 内；脚本使用 Blender 5.2.1 LTS
GD-001,Godot/德扑牌桌场景/1_hands.png,场景图,1,未核验（无 ffprobe）,"Godot 早期原型场景图：扑克手牌局部；PNG 格式，与其他 Godot 原型文件共存。",德扑牌桌场景,推测,Godot/德扑牌桌场景/ 目录下，与 .tscn/.gd 同组；未在 src/ 中引用,牌桌局部特写参考；构图可参考手牌/公共牌显示,但不在当前 src/ 代码引用中
GD-002,Godot/德扑牌桌场景/2_table_full.PNG,场景图,1,未核验,Godot 早期原型场景图：完整牌桌俯视；分辨率较高（1461353 字节）。,德扑牌桌场景,推测,Godot/德扑牌桌场景/ 目录；未在 src/ 中引用,牌桌俯视构图；含筹码和牌的位置排列参考,但不在当前 src/ 代码引用中
GD-003,Godot/德扑牌桌场景/3_midground.png,场景图,1,未核验,Godot 早期原型场景图：中景牌桌视角。,德扑牌桌场景,推测,Godot/德扑牌桌场景/ 目录；未在 src/ 中引用,牌桌中景参考,但不在当前 src/ 代码引用中
GD-004,Godot/德扑牌桌场景/4_background.PNG,场景图,1,未核验,Godot 早期原型场景图：背景环境。,德扑牌桌场景,推测,Godot/德扑牌桌场景/ 目录；未在 src/ 中引用,酒馆背景环境参考,但不在当前 src/ 代码引用中
GD-005,Godot/德扑牌桌场景/德扑牌桌全景图.png,场景图,1,未核验,Godot 早期原型场景图：德扑牌桌全景图，分辨率高（1502833 字节）。,德扑牌桌场景,推测,Godot/德扑牌桌场景/ 目录；未在 src/ 中引用,但不在当前 src/ 代码引用中；文件最大（1.5MB）,Godot 早期原型存档；未在 src/ 引用；文件最大（1.5MB）；当前不进 3D 制作
GD-006,"Godot/撤离结算.tscn, Godot/酒馆大厅.tscn, Godot/个人资产.tscn, Godot/德扑场景.tscn, Godot/德扑场景1.gd, Godot/德扑场景.gd",场景/代码,6,历史归档,Godot 早期原型存档：.tscn 场景文件 + .gd 脚本；均为 2026年3-5月创建，Godot 原型阶段产物。,无,待确认（历史归档）,Godot/ 目录整体为历史归档；.godot/ 缓存已排除；.import 文件已排除；未在当前 src/ 中引用,酒馆场景布局参考（撤离结算弹窗、大厅布局）；但代码不可直接迁移 Godot → HTML5,可考虑提取场景描述性信息供 3D 建模参考；脚本中可能有已废弃的业务逻辑；注：德扑牌桌场景/ 子目录含 5 张德扑原型 PNG（1_hands.png、2_table_full.PNG、3_midground.png、4_background.PNG、德扑牌桌全景图.png）
GD-007,Godot/three_d/assets/stash.glb,模型,1,"11,705,068 字节（约 11.7 MB）（stash-export.json 元数据）",Godot three_d 导出的 3D 模型（.glb）；stash-noir 场景导出产物，含 stash-export.json 元数据。,stash,推测,Godot/three_d/assets/stash-export.json 元数据；与 stash-noir.blend 对应；未在 src/ 中引用,直接可用的 3D 资产；verification.json 已记录 object/mesh 数量；.glb 可导入 Blender/Godot 继续编辑,目录结构显示 three_d 是 Godot 3D 原型；.glb 已生成但未集成到当前 HTML5 游戏
GD-008,Godot/three_d/scenes/main.tscn,场景,1,历史归档,Godot three_d 目录下的主场景文件；属于新 Godot 3D 原型。,无,已确认（Godot 3D 项目主场景入口）,Godot/project.godot:14 run/main_scene=res://three_d/scenes/main.tscn；Godot/three_d/scripts/world.gd preload(res://three_d/assets/stash.glb),"three_d 有独立 scripts/ (player.gd, world.gd, interactable.gd) 可参考交互设计；GLB 11,705,068 字节（约 11.7 MB）；是 Godot 3D 项目运行入口；HTML5 当前游戏未直接引用此 .tscn"
GD-009,assets/cards/,牌面,56,未核验,"56 张扑克牌 PNG（52 张点数牌 + back.png + back@2x.png + 2 张 Joker）；游戏实际加载路径位于项目内 assets/cards/；原始来源：MIT License 处理工具（Copyright (c) 2018 Howard Yeh），原素材来源 vector-playing-cards（public domain）。",cardAssetSrc / CARD_BACK_SRC,已确认,src/main.js:3620 cardAssetSrc 加载 ../assets/cards/${cardAssetFile(card)}；src/main.js:53 CARD_BACK_SRC = ../assets/cards/back.png；MD5 已验证 assets/cards/、Godot/Cards/、Godot/素材/playing-cards-assets-master/png/ 三处 56 张 PNG 完全一致（同一套复制 3 份）,56 张完整扑克牌组；游戏直接使用 assets/cards/；其他两处为 Godot 原型归档；LICENSE 见 Godot/素材/playing-cards-assets-master/LICENSE（MIT，处理工具）；README 原始来源 vector-playing-cards (public domain),"LICENSE 文件实际标题为 MIT；README 自述原素材来源为 public domain；未发现任何 Byvecade 命名的本地证据；本行相对路径已修正为实际加载路径；数量从 55 更正为 56（52 点数牌 + 2 鬼牌 + back + back@2x）"
GD-010,"Godot/素材/像素扑克牌.zip, Godot/素材/写实扑克牌.zip",牌面,2,未核验,两个扑克牌素材 ZIP 包：像素风格和写实风格；在 Godot/素材/ 目录下，未解压。,无,待确认,未在 src/ 代码中引用；可能在早期原型中使用后废弃；无 LICENSE 或说明文件,像素风格可参考像素 UI 设计；写实风格可能是早期探索；均未被当前代码引用
