opponent,slice,samples,fold,check,call,raise,all-in,fold_rate,check_rate,call_rate,raise_rate,all-in_rate
velvet-rook,table=mirror-hall,16,8,3,5,0,0,0.500000,0.187500,0.312500,0.000000,0.000000
ash-smuggler,street=flop,32,15,10,6,1,0,0.468750,0.312500,0.187500,0.031250,0.000000
calm-widow,street=flop,32,12,4,6,7,3,0.375000,0.125000,0.187500,0.218750,0.093750
dock-braggart,street=flop,32,12,7,6,4,3,0.375000,0.218750,0.187500,0.125000,0.093750
house-viper,street=flop,32,12,7,6,4,3,0.375000,0.218750,0.187500,0.125000,0.093750
ledger-clerk,street=flop,32,15,10,6,1,0,0.468750,0.312500,0.187500,0.031250,0.000000
river-shark,street=flop,32,15,7,6,4,0,0.468750,0.218750,0.187500,0.125000,0.000000
smiling-knife,street=flop,32,11,7,6,4,4,0.343750,0.218750,0.187500,0.125000,0.125000
velvet-rook,street=flop,32,12,10,9,1,0,0.375000,0.312500,0.281250,0.031250,0.000000
ash-smuggler,street=preflop,39,17,3,18,1,0,0.435897,0.076923,0.461538,0.025641,0.000000
calm-widow,street=preflop,39,18,3,13,5,0,0.461538,0.076923,0.333333,0.128205,0.000000
dock-braggart,street=preflop,39,7,3,25,4,0,0.179487,0.076923,0.641026,0.102564,0.000000
house-viper,street=preflop,39,18,4,17,0,0,0.461538,0.102564,0.435897,0.000000,0.000000
ledger-clerk,street=preflop,39,19,4,16,0,0,0.487179,0.102564,0.410256,0.000000,0.000000
river-shark,street=preflop,39,17,4,18,0,0,0.435897,0.102564,0.461538,0.000000,0.000000
smiling-knife,street=preflop,39,17,3,18,1,0,0.435897,0.076923,0.461538,0.025641,0.000000
velvet-rook,street=preflop,39,4,4,31,0,0,0.102564,0.102564,0.794872,0.000000,0.000000
ash-smuggler,street=turn,16,3,3,3,7,0,0.187500,0.187500,0.187500,0.437500,0.000000
calm-widow,street=turn,16,3,0,3,10,0,0.187500,0.000000,0.187500,0.625000,0.000000
dock-braggart,street=turn,16,3,3,3,7,0,0.187500,0.187500,0.187500,0.437500,0.000000
house-viper,street=turn,16,6,6,3,1,0,0.375000,0.375000,0.187500,0.062500,0.000000
ledger-clerk,street=turn,16,6,6,3,1,0,0.375000,0.375000,0.187500,0.062500,0.000000
river-shark,street=turn,16,3,6,6,1,0,0.187500,0.375000,0.375000,0.062500,0.000000
smiling-knife,street=turn,16,3,3,3,7,0,0.187500,0.187500,0.187500,0.437500,0.000000
velvet-rook,street=turn,16,1,6,8,1,0,0.062500,0.375000,0.500000,0.062500,0.000000
ash-smuggler,legal_actions=2,17,17,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
calm-widow,legal_actions=2,17,14,0,0,0,3,0.823529,0.000000,0.000000,0.000000,0.176471
dock-braggart,legal_actions=2,17,14,0,0,0,3,0.823529,0.000000,0.000000,0.000000,0.176471
house-viper,legal_actions=2,17,14,0,0,0,3,0.823529,0.000000,0.000000,0.000000,0.176471
ledger-clerk,legal_actions=2,17,17,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
river-shark,legal_actions=2,17,17,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
smiling-knife,legal_actions=2,17,13,0,0,0,4,0.764706,0.000000,0.000000,0.000000,0.235294
velvet-rook,legal_actions=2,17,17,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
ash-smuggler,legal_actions=3,35,11,4,20,0,0,0.314286,0.114286,0.571429,0.000000,0.000000
calm-widow,legal_actions=3,35,13,4,18,0,0,0.371429,0.114286,0.514286,0.000000,0.000000
dock-braggart,legal_actions=3,35,8,4,23,0,0,0.228571,0.114286,0.657143,0.000000,0.000000
house-viper,legal_actions=3,35,12,4,19,0,0,0.342857,0.114286,0.542857,0.000000,0.000000
ledger-clerk,legal_actions=3,35,13,4,18,0,0,0.371429,0.114286,0.514286,0.000000,0.000000
river-shark,legal_actions=3,35,11,4,20,0,0,0.314286,0.114286,0.571429,0.000000,0.000000
smiling-knife,legal_actions=3,35,11,4,20,0,0,0.314286,0.114286,0.571429,0.000000,0.000000
velvet-rook,legal_actions=3,35,0,4,31,0,0,0.000000,0.114286,0.885714,0.000000,0.000000
ash-smuggler,legal_actions=4,35,7,12,7,9,0,0.200000,0.342857,0.200000,0.257143,0.000000
calm-widow,legal_actions=4,35,6,3,4,22,0,0.171429,0.085714,0.114286,0.628571,0.000000
dock-braggart,legal_actions=4,35,0,9,11,15,0,0.000000,0.257143,0.314286,0.428571,0.000000
house-viper,legal_actions=4,35,10,13,7,5,0,0.285714,0.371429,0.200000,0.142857,0.000000
ledger-clerk,legal_actions=4,35,10,16,7,2,0,0.285714,0.457143,0.200000,0.057143,0.000000
river-shark,legal_actions=4,35,7,13,10,5,0,0.200000,0.371429,0.285714,0.142857,0.000000
smiling-knife,legal_actions=4,35,7,9,7,12,0,0.200000,0.257143,0.200000,0.342857,0.000000
velvet-rook,legal_actions=4,35,0,16,17,2,0,0.000000,0.457143,0.485714,0.057143,0.000000
