类别,ID,名称,所属酒馆,规则定义位置,执行入口,获得或解锁条件,成本,效果或收益,限制,测试证据,实现状态,验证状态,生成脚本,导出文件,加载函数,运行使用点,缺口
物品-贵重,ruby-cufflink,红宝石袖扣,货架外(奖励),content.json:447-455,同上,货运桌盈利且栈≥90 时的奖励,售价 90 / 占 1 格,可作抵押物;撤离时计入到账价值,不可购买,settlement_coverage 21(case ruby),已实现,部分验证,无独立建模脚本；藏匿点场景装饰出自 assets/blender/stash-noir/build_scene.py「05 • Personal valuables」（场景静物，非道具资产）,无（stash-noir 未见对应装饰）,world.gd:14 STASH_ASSET / world.gd:181-184 build_stash()（作为藏匿点静态装饰加载，不是道具实例）,规则侧：run.gd:449 sale_value / run.gd:199-202 奖励发放 / routes.gd:51 撤离净值 / table_hud.gd:144-148 抵押下拉（纯文字）。3D 无道具实例,无 3D 道具实例；出售路径（sale_value）已定义但**未单独断言**（仅有 settlement_coverage 的结算分支）
物品-贵重,gold-cased-watch,金壳怀表,货架外(奖励),content.json:456-464,同上,镜厅盈利且栈<170 且未归还抵押时的奖励,售价 120 / 占 1 格,可作抵押物;撤离时计入到账价值,不可购买,settlement_coverage 21(case watch),已实现,部分验证,无独立建模脚本；藏匿点场景装饰出自 assets/blender/stash-noir/build_scene.py「05 • Personal valuables」（场景静物，非道具资产）,"无独立 GLB。stash-noir 的 Pocket watch body + Ivory enamel watch dial + Watch bezel/hands/bow（build_scene.py:155-163）合并进 stash.glb 节点 ""Valuables""",world.gd:14 STASH_ASSET / world.gd:181-184 build_stash()（作为藏匿点静态装饰加载，不是道具实例）,规则侧：run.gd:449 sale_value / run.gd:199-202 奖励发放 / routes.gd:51 撤离净值 / table_hud.gd:144-148 抵押下拉（纯文字）。3D 无道具实例,无 3D 道具实例，藏匿点有可辨认怀表装饰；出售路径**未单独断言**
物品-贵重,antique-coin,古董纪念币,货架外(奖励),content.json:465-473,同上,镜厅盈利且末手主池获胜并归还抵押时获得,售价 140 / 占 1 格,可作抵押物;撤离时计入到账价值,不可购买,settlement_coverage 21(case antique) / four_tables:91/129,已实现,部分验证,无独立建模脚本；藏匿点场景装饰出自 assets/blender/stash-noir/build_scene.py「05 • Personal valuables」（场景静物，非道具资产）,无（stash-noir 未见对应装饰）,world.gd:14 STASH_ASSET / world.gd:181-184 build_stash()（作为藏匿点静态装饰加载，不是道具实例）,规则侧：run.gd:449 sale_value / run.gd:199-202 奖励发放 / routes.gd:51 撤离净值 / table_hud.gd:144-148 抵押下拉（纯文字）。3D 无道具实例,无 3D 道具实例；出售路径**未单独断言**
物品-贵重,sealed-bond,密封债券,货架外(奖励),content.json:474-482,同上,镜厅盈利且栈≥170 且未归还抵押时获得,售价 180 / 占 2 格,可作抵押物;撤离时计入到账价值,不可购买;占 2 格影响背包容量,settlement_coverage 21(case bond) / four_tables:129,已实现,部分验证,无独立建模脚本；藏匿点场景装饰出自 assets/blender/stash-noir/build_scene.py「05 • Personal valuables」（场景静物，非道具资产）,无（stash-noir 未见对应装饰）,world.gd:14 STASH_ASSET / world.gd:181-184 build_stash()（作为藏匿点静态装饰加载，不是道具实例）,规则侧：run.gd:449 sale_value / run.gd:199-202 奖励发放 / routes.gd:51 撤离净值 / table_hud.gd:144-148 抵押下拉（纯文字）。3D 无道具实例,无 3D 道具实例；出售路径**未单独断言**；占 2 格
物品-贵重,pearl-necklace,珍珠项链,货架外(奖励),content.json:483-491,同上,账房地窖盈利且栈≥130 时的奖励,售价 95 / 占 1 格,可作抵押物;撤离时计入到账价值,不可购买,settlement_coverage 21(case pearl) / services_save:33-48,已实现,已核验,无独立建模脚本；藏匿点场景装饰出自 assets/blender/stash-noir/build_scene.py「05 • Personal valuables」（场景静物，非道具资产）,"无独立 GLB。stash-noir 的 Pearl necklace（49 外圈 + 19 内圈 + 搭扣，build_scene.py:149-154）合并进 stash.glb 节点 ""Valuables""",world.gd:14 STASH_ASSET / world.gd:181-184 build_stash()（作为藏匿点静态装饰加载，不是道具实例）,规则侧：run.gd:449 sale_value / run.gd:199-202 奖励发放 / routes.gd:51 撤离净值 / table_hud.gd:144-148 抵押下拉（纯文字）。3D 无道具实例,无 3D 道具实例，藏匿点有可辨认项链装饰；规则侧已核验
物品-贵重,emerald-brooch,翡翠胸针,货架外(奖励),content.json:492-500,同上,账房地窖盈利且栈<130 或余烬桌盈利且栈<220 时的奖励,售价 125 / 占 1 格,可作抵押物;撤离时计入到账价值,不可购买,settlement_coverage 21(case emerald) / services_save:33-48,已实现,已核验,无独立建模脚本；藏匿点场景装饰出自 assets/blender/stash-noir/build_scene.py「05 • Personal valuables」（场景静物，非道具资产）,无（stash-noir 未见对应装饰）,world.gd:14 STASH_ASSET / world.gd:181-184 build_stash()（作为藏匿点静态装饰加载，不是道具实例）,规则侧：run.gd:449 sale_value / run.gd:199-202 奖励发放 / routes.gd:51 撤离净值 / table_hud.gd:144-148 抵押下拉（纯文字）。3D 无道具实例,无 3D 道具实例；规则侧已核验
物品-贵重,obsidian-idol,黑曜石雕像,货架外(奖励),content.json:501-509,同上,余烬桌盈利且栈<220 时的奖励,售价 150 / 占 2 格,可作抵押物;撤离时计入到账价值,不可购买;占 2 格,settlement_coverage 21(case idol),已实现,部分验证,无独立建模脚本；藏匿点场景装饰出自 assets/blender/stash-noir/build_scene.py「05 • Personal valuables」（场景静物，非道具资产）,无（stash-noir 未见对应装饰）,world.gd:14 STASH_ASSET / world.gd:181-184 build_stash()（作为藏匿点静态装饰加载，不是道具实例）,规则侧：run.gd:449 sale_value / run.gd:199-202 奖励发放 / routes.gd:51 撤离净值 / table_hud.gd:144-148 抵押下拉（纯文字）。3D 无道具实例,无 3D 道具实例；出售路径**未单独断言**；占 2 格
物品-贵重,vault-promissory,金库本票,货架外(奖励),content.json:510-518,同上,余烬桌盈利且栈≥220 时的奖励,售价 210 / 占 2 格,可作抵押物;撤离时计入到账价值,不可购买;占 2 格,settlement_coverage 21(case promissory),已实现,部分验证,无独立建模脚本；藏匿点场景装饰出自 assets/blender/stash-noir/build_scene.py「05 • Personal valuables」（场景静物，非道具资产）,无（stash-noir 未见对应装饰）,world.gd:14 STASH_ASSET / world.gd:181-184 build_stash()（作为藏匿点静态装饰加载，不是道具实例）,规则侧：run.gd:449 sale_value / run.gd:199-202 奖励发放 / routes.gd:51 撤离净值 / table_hud.gd:144-148 抵押下拉（纯文字）。3D 无道具实例,无 3D 道具实例；出售路径**未单独断言**；占 2 格
对手,dock-braggart,码头吹牛客,随牌桌(货运桌起始名单),content.json:138-151,opponent.gd estimate_odds / decide;run.gd:481 actor_name,由 variant_plan.opponents 洗牌分配(每桌一位),-,archetype=Maniac;aggression .76/caution .18/bluff .24/finalHandSpike .02/patternPunish 0,每位一局只出现一次;恢复活动牌局须与计划名单一致,opponent_pool 802 / opponent_profiles / table_test 1879,已实现,已核验,assets/blender/characters/build_characters.py（CAST：suit/hair 色值 + hat/female 布尔）,Godot/three_d/assets/characters/dock-braggart.glb + manifest.json,"characters.gd:6-21 actor()（load(""res://three_d/assets/characters/""+id+"".glb"")）",characters.gd:22-27 build()；:44-56 refresh() 播 idle/bet/win/fold；:57-59 deliver()（world.gd:861 调用）,与 ash-smuggler/dock-braggart/river-shark/smiling-knife 同属**几何组 A**（POSITION+JOINTS_0+WEIGHTS_0 原始字节 sha256 完全相同；manifest 顶点 40282）。四者共有的几何开关是 hat=True；suit/hair 配色各自不同。
对手,ledger-clerk,账房先生,同上,content.json:152-165,同上,-,-,archetype=Nit;.28/.74/.05/0/0,同上,opponent_pool 802 / opponent_profiles,已实现,已核验,assets/blender/characters/build_characters.py（CAST：suit/hair 色值 + hat/female 布尔）,Godot/three_d/assets/characters/ledger-clerk.glb + manifest.json,"characters.gd:6-21 actor()（load(""res://three_d/assets/characters/""+id+"".glb"")）",characters.gd:22-27 build()；:44-56 refresh() 播 idle/bet/win/fold；:57-59 deliver()（world.gd:861 调用）,与 house-viper/ledger-clerk/velvet-rook 同属**几何组 B**（原始字节完全相同；manifest 顶点 39558）。几何开关 hat=False/female=False；suit/hair 配色各自不同。
对手,river-shark,河道老鲨,同上,content.json:194-207,同上,-,-,archetype=Shark;.5/.42/.09/.06/.05,同上,opponent_pool 802 / opponent_profiles,已实现,已核验,assets/blender/characters/build_characters.py（CAST：suit/hair 色值 + hat/female 布尔）,Godot/three_d/assets/characters/river-shark.glb + manifest.json,"characters.gd:6-21 actor()（load(""res://three_d/assets/characters/""+id+"".glb"")）",characters.gd:22-27 build()；:44-56 refresh() 播 idle/bet/win/fold；:57-59 deliver()（world.gd:861 调用）,与 ash-smuggler/dock-braggart/river-shark/smiling-knife 同属**几何组 A**（POSITION+JOINTS_0+WEIGHTS_0 原始字节 sha256 完全相同；manifest 顶点 40282）。四者共有的几何开关是 hat=True；suit/hair 配色各自不同。
对手,velvet-rook,绒衣新客,同上,content.json:208-221,同上,-,-,archetype=Calling Station;.34/.6/.1/.05/.07,同上,opponent_pool 802 / opponent_profiles,已实现,已核验,assets/blender/characters/build_characters.py（CAST：suit/hair 色值 + hat/female 布尔）,Godot/three_d/assets/characters/velvet-rook.glb + manifest.json,"characters.gd:6-21 actor()（load(""res://three_d/assets/characters/""+id+"".glb"")）",characters.gd:22-27 build()；:44-56 refresh() 播 idle/bet/win/fold；:57-59 deliver()（world.gd:861 调用）,与 house-viper/ledger-clerk/velvet-rook 同属**几何组 B**（原始字节完全相同；manifest 顶点 39558）。几何开关 hat=False/female=False；suit/hair 配色各自不同。
对手,calm-widow,沉静寡妇,同上,content.json:166-179,同上,-,-,archetype=Shark;.48/.62/.08/.12/.18(最高 patternPunish),同上,opponent_pool 802 / opponent_profiles,已实现,已核验,assets/blender/characters/build_characters.py（CAST：suit/hair 色值 + hat/female 布尔）,Godot/three_d/assets/characters/calm-widow.glb + manifest.json,"characters.gd:6-21 actor()（load(""res://three_d/assets/characters/""+id+"".glb"")）",characters.gd:22-27 build()；:44-56 refresh() 播 idle/bet/win/fold；:57-59 deliver()（world.gd:861 调用）,**独立几何组 D**（manifest 顶点 38588）。female=True → 加 Pinned hair、Jacket/Cranium/Jaw/Cheek 尺寸与 Fitted shirt 投影不同；suit/hair 配色唯一
对手,smiling-knife,笑面刀,同上,content.json:180-193,同上,-,-,archetype=Shark;.5/.42/.12/.24(最高 finalHandSpike)/.06,同上,opponent_pool 802 / opponent_profiles(smiling-knife 终手 all-in 上升),已实现,已核验,assets/blender/characters/build_characters.py（CAST：suit/hair 色值 + hat/female 布尔）,Godot/three_d/assets/characters/smiling-knife.glb + manifest.json,"characters.gd:6-21 actor()（load(""res://three_d/assets/characters/""+id+"".glb"")）",characters.gd:22-27 build()；:44-56 refresh() 播 idle/bet/win/fold；:57-59 deliver()（world.gd:861 调用）,与 ash-smuggler/dock-braggart/river-shark/smiling-knife 同属**几何组 A**（POSITION+JOINTS_0+WEIGHTS_0 原始字节 sha256 完全相同；manifest 顶点 40282）。四者共有的几何开关是 hat=True；suit/hair 配色各自不同。
对手,house-viper,庄家毒蛇,同上,content.json:222-235,同上,-,-,archetype=Shark;.51/.5/.08/.11/.08,同上,opponent_pool 802 / opponent_profiles,已实现,已核验,assets/blender/characters/build_characters.py（CAST：suit/hair 色值 + hat/female 布尔）,Godot/three_d/assets/characters/house-viper.glb + manifest.json,"characters.gd:6-21 actor()（load(""res://three_d/assets/characters/""+id+"".glb"")）",characters.gd:22-27 build()；:44-56 refresh() 播 idle/bet/win/fold；:57-59 deliver()（world.gd:861 调用）,与 house-viper/ledger-clerk/velvet-rook 同属**几何组 B**（原始字节完全相同；manifest 顶点 39558）。几何开关 hat=False/female=False；suit/hair 配色各自不同。
对手,ash-smuggler,灰烬走私客,同上,content.json:236-249,同上,-,-,archetype=Fish;.42/.46/.15/.07/.06,同上,opponent_pool 802 / opponent_profiles,已实现,已核验,assets/blender/characters/build_characters.py（CAST：suit/hair 色值 + hat/female 布尔）,Godot/three_d/assets/characters/ash-smuggler.glb + manifest.json,"characters.gd:6-21 actor()（load(""res://three_d/assets/characters/""+id+"".glb"")）",characters.gd:22-27 build()；:44-56 refresh() 播 idle/bet/win/fold；:57-59 deliver()（world.gd:861 调用）,与 ash-smuggler/dock-braggart/river-shark/smiling-knife 同属**几何组 A**（POSITION+JOINTS_0+WEIGHTS_0 原始字节 sha256 完全相同；manifest 顶点 40282）。四者共有的几何开关是 hat=True；suit/hair 配色各自不同。
酒保,bartender,酒保,四店各一名,Godot/three_d/scripts/bar_display.gd:13-15(实体) / bar_display.gd:38-50(deliver),bar_display.gd build/deliver;run.gd 服务入口,非牌局对手(不计入 8 位对手),-,提供购买/出售/降风声/情报服务界面;不参与牌局,不计入对手人数统计,services_save 46 / spatial_interaction 96 / characters 99,已实现,已核验,assets/blender/characters/build_characters.py（CAST：suit/hair 色值 + hat/female 布尔）；bartender 额外 standing=True,Godot/three_d/assets/characters/bartender.glb + manifest.json,"characters.gd:6-21 actor()（load(""res://three_d/assets/characters/""+id+"".glb"")）",characters.gd:22-27 build()；:44-56 refresh() 播 idle/bet/win/fold；:57-59 deliver()（world.gd:861 调用）,**独立几何组 C**：manifest 顶点 39558 与组 B 相同，但 POSITION 原始字节不同（standing=True → lift=0.35、膝/踝位置、Sleeve 材质差异）——顶点数相同不等于几何相同。遗留：bar_display.gd:13-15 仍创建 3 个占位盒体，characters.gd:28-30 已随 GLB 挂入 hide() 它们；bar_display.gd:46 的手部 tween 作用在已隐藏盒体上，可见效果由道具模型 + characters.gd:57-59 的 bet 动画承担
路线-固定,kitchen-backlift,后厨货梯接应,烟雾酒馆,content.json:663-668,run.gd:471 route_offer / run.gd:530 reserve_fee / routes.gd:16-24 fixed 报价,探索阶段服务入口预约(reserve),预付 max(10;50-10)=40;撤离另付尾款 10,撤离到账；不牺牲财物,route_flags.fixed 未知时不可用;预约过期或风声>maxHeat(4) 拒绝;本店预约不可跨店使用,reservation_coverage 88 情境 / route_guard 192 情境 / venue_transfer 923,已实现,已核验,-,-,-,-,场景图为四店共用灰盒
路线-固定,linen-cart,布草车接应,烟雾酒馆,content.json:669-677,同上,同上,预付 40 / 尾款 10,同上,同上,同上,已实现,已核验,-,-,-,-,无精确匹配的场景参考图(inventory 记录)
路线-固定,vip-elevator,贵宾电梯,高层套房,content.json:701-706,同上,同上,预付 max(10;60-0)=60 / 尾款 20,同上,同上,同上,已实现,已核验,-,-,-,-,参考图 tavern-smoky-den-route-vip-elevator-bg.png 存放在 smoky-den 目录(命名错配)
路线-固定,laundry-trolley,洗衣推车,高层套房,content.json:707-715,同上,同上,预付 max(10;55-0)=55 / 尾款 15,同上,同上,同上,已实现,已核验,-,-,-,-,无精确匹配场景图
路线-固定,staff-door,员工通道,屋顶会所,content.json:739-744,同上,同上,预付 max(10;45-5)=45 / 尾款 15,同上,同上,同上,已实现,已核验,-,-,-,-,-
路线-固定,valet-loop,代客泊车接应,屋顶会所,content.json:745-753,同上,同上,预付 max(10;55-5)=50 / 尾款 20,同上,同上,同上,已实现,已核验,-,-,-,-,-
路线-固定,data-node-gate,数据节点闸门,霓虹扑克俱乐部,content.json:777-782,同上,同上,预付 max(10;50-0)=50 / 尾款 20,同上,同上,同上,已实现,已核验,-,-,-,-,-
